                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3625,                 2.9663,                 1.5184,                0.50896,                0.40054,                0.39147,                0.24624,                 1.3724,                  2.503,                 1.4856,              0.0033188,              0.0033188,              0.0033188
                      2,                 1.3916,                  2.301,                 1.4966,                0.35381,                0.27153,                0.22967,                 0.1061,                 1.8461,                 2.8984,                 2.0854,              0.0065863,              0.0065863,              0.0065863
                      3,                 1.5796,                 2.3159,                 1.6504,                0.18256,                0.18604,                0.08562,                0.03357,                 2.2712,                 5.8482,                 2.5231,              0.0097878,              0.0097878,              0.0097878
                      4,                 1.6747,                 2.3458,                 1.7498,                0.38898,                  0.276,                0.23932,                0.12658,                 1.8477,                 2.9648,                 2.1041,               0.009703,               0.009703,               0.009703
                      5,                 1.6041,                 2.1861,                 1.6911,                0.45195,                0.27014,                0.25618,                0.12726,                 1.9551,                 2.6814,                 2.0883,               0.009703,               0.009703,               0.009703
                      6,                 1.5309,                 2.0686,                 1.6328,                0.44885,                0.35059,                0.32558,                0.18434,                 1.6537,                 2.5144,                 1.7899,               0.009604,               0.009604,               0.009604
                      7,                 1.4961,                 1.9894,                 1.6111,                0.46257,                0.35737,                0.33528,                0.18837,                 1.6765,                 2.0888,                 1.8136,               0.009505,               0.009505,               0.009505
                      8,                 1.4519,                  1.922,                 1.5756,                0.58903,                0.36852,                0.40841,                 0.2419,                 1.5729,                 1.9796,                 1.6595,               0.009406,               0.009406,               0.009406
                      9,                 1.4334,                  1.844,                 1.5501,                0.60197,                0.39143,                0.41185,                0.25275,                 1.4971,                 1.8185,                 1.6422,               0.009307,               0.009307,               0.009307
                     10,                 1.3938,                 1.7926,                 1.5278,                0.58186,                 0.4247,                0.45093,                0.28296,                 1.4753,                 1.7736,                 1.6044,               0.009208,               0.009208,               0.009208
                     11,                 1.3724,                 1.7497,                 1.5162,                0.58785,                0.47153,                0.47767,                0.29264,                  1.506,                 1.6965,                 1.6056,               0.009109,               0.009109,               0.009109
                     12,                 1.3615,                 1.7185,                 1.4951,                0.60334,                0.42977,                0.46206,                0.28535,                 1.4655,                 1.6488,                 1.5773,                0.00901,                0.00901,                0.00901
                     13,                 1.3442,                 1.6782,                 1.4827,                 0.6047,                0.42147,                0.45439,                0.28927,                  1.439,                 1.7662,                 1.5758,               0.008911,               0.008911,               0.008911
                     14,                 1.3228,                 1.6351,                 1.4628,                0.62949,                0.46555,                0.49636,                0.31403,                 1.4392,                 1.5799,                 1.5563,               0.008812,               0.008812,               0.008812
                     15,                 1.3087,                 1.5992,                 1.4497,                0.61703,                0.47127,                0.50219,                0.31705,                 1.4405,                  1.592,                 1.5636,               0.008713,               0.008713,               0.008713
                     16,                 1.2969,                 1.5872,                 1.4498,                0.62294,                0.45957,                0.51227,                0.32481,                 1.4338,                 1.5655,                  1.567,               0.008614,               0.008614,               0.008614
                     17,                 1.2944,                 1.5659,                 1.4433,                 0.6257,                0.50608,                0.53058,                0.33058,                 1.4178,                 1.4792,                 1.5553,               0.008515,               0.008515,               0.008515
                     18,                 1.2707,                 1.5292,                  1.421,                0.59967,                0.52247,                0.55032,                0.34533,                 1.3924,                 1.4497,                 1.5198,               0.008416,               0.008416,               0.008416
                     19,                 1.2637,                 1.5098,                 1.4186,                0.61668,                  0.531,                 0.5606,                0.36271,                 1.3439,                 1.3836,                 1.4486,               0.008317,               0.008317,               0.008317
                     20,                 1.2497,                 1.4755,                 1.4095,                 0.6364,                 0.5414,                0.57074,                0.37484,                 1.3503,                  1.358,                 1.4618,               0.008218,               0.008218,               0.008218
                     21,                 1.2595,                 1.4799,                 1.4121,                0.66081,                0.55607,                0.58829,                 0.3759,                 1.3466,                 1.3198,                  1.452,               0.008119,               0.008119,               0.008119
                     22,                 1.2353,                 1.4474,                 1.3929,                0.69383,                0.52733,                0.58438,                 0.3815,                 1.3293,                 1.3112,                 1.4377,                0.00802,                0.00802,                0.00802
                     23,                 1.2386,                 1.4416,                 1.3948,                0.66416,                 0.5577,                0.58218,                0.38386,                 1.3093,                 1.3084,                 1.4309,               0.007921,               0.007921,               0.007921
                     24,                 1.2188,                 1.4163,                 1.3806,                0.66389,                0.57612,                0.60728,                0.40078,                  1.294,                 1.2543,                   1.41,               0.007822,               0.007822,               0.007822
                     25,                 1.2157,                 1.3997,                 1.3759,                0.68147,                0.57036,                0.60361,                0.39747,                 1.2856,                 1.2886,                  1.407,               0.007723,               0.007723,               0.007723
                     26,                 1.2146,                 1.3905,                 1.3715,                0.68706,                0.56848,                 0.6163,                0.41104,                 1.2631,                 1.2307,                 1.3924,               0.007624,               0.007624,               0.007624
                     27,                 1.2086,                 1.3949,                 1.3708,                0.66865,                0.58286,                0.61257,                0.40864,                 1.2338,                 1.2151,                 1.3739,               0.007525,               0.007525,               0.007525
                     28,                 1.1946,                 1.3514,                 1.3546,                0.66666,                 0.5733,                0.61607,                0.41497,                 1.2552,                 1.2063,                 1.3861,               0.007426,               0.007426,               0.007426
                     29,                  1.192,                 1.3495,                 1.3543,                0.65263,                0.59495,                0.61575,                0.41073,                 1.2495,                 1.2017,                 1.3805,               0.007327,               0.007327,               0.007327
                     30,                 1.1748,                 1.3288,                 1.3437,                0.68527,                0.59522,                0.62647,                 0.4194,                  1.251,                 1.1759,                 1.3819,               0.007228,               0.007228,               0.007228
                     31,                 1.1789,                 1.3326,                 1.3469,                0.70082,                0.57264,                0.62997,                0.41969,                  1.236,                 1.1722,                 1.3668,               0.007129,               0.007129,               0.007129
                     32,                 1.1656,                 1.3143,                 1.3374,                0.66907,                0.62976,                0.64735,                0.42603,                 1.2508,                 1.1482,                 1.3838,                0.00703,                0.00703,                0.00703
                     33,                 1.1746,                 1.3007,                 1.3417,                0.69415,                0.58238,                0.64016,                0.42632,                 1.2261,                 1.1579,                 1.3687,               0.006931,               0.006931,               0.006931
                     34,                 1.1559,                 1.2891,                 1.3287,                0.73985,                0.54592,                0.63751,                0.42877,                 1.2174,                  1.145,                 1.3502,               0.006832,               0.006832,               0.006832
                     35,                 1.1525,                 1.2755,                 1.3287,                0.68595,                0.62564,                0.64969,                 0.4355,                 1.2123,                 1.1355,                 1.3447,               0.006733,               0.006733,               0.006733
                     36,                 1.1466,                 1.2698,                 1.3218,                0.69273,                0.60583,                0.64565,                0.43468,                 1.2093,                 1.1523,                  1.349,               0.006634,               0.006634,               0.006634
                     37,                 1.1379,                 1.2423,                  1.311,                0.69542,                0.60643,                0.65406,                0.43834,                 1.2088,                 1.1266,                 1.3435,               0.006535,               0.006535,               0.006535
                     38,                 1.1458,                 1.2454,                 1.3126,                0.72612,                0.58439,                0.65108,                0.43753,                 1.2279,                 1.1212,                 1.3725,               0.006436,               0.006436,               0.006436
                     39,                 1.1304,                 1.2325,                 1.3066,                 0.7061,                0.61363,                 0.6577,                0.44812,                 1.2114,                 1.0922,                 1.3446,               0.006337,               0.006337,               0.006337
                     40,                 1.1293,                 1.2249,                 1.3065,                0.70666,                0.60801,                0.65882,                0.44427,                 1.2058,                 1.0859,                 1.3388,               0.006238,               0.006238,               0.006238
                     41,                 1.1249,                 1.2198,                 1.3084,                0.66769,                0.63539,                 0.6599,                0.44515,                 1.2109,                  1.096,                 1.3472,               0.006139,               0.006139,               0.006139
                     42,                  1.124,                 1.2099,                 1.3004,                0.68745,                 0.6315,                0.66104,                0.44859,                 1.2064,                 1.0884,                 1.3357,                0.00604,                0.00604,                0.00604
                     43,                 1.1141,                 1.2019,                 1.2929,                0.69836,                0.62867,                0.67007,                0.45324,                 1.1998,                 1.0885,                 1.3368,               0.005941,               0.005941,               0.005941
                     44,                 1.1113,                 1.1851,                 1.2877,                0.69455,                0.63836,                0.67084,                0.45331,                 1.1896,                 1.0881,                 1.3278,               0.005842,               0.005842,               0.005842
                     45,                 1.1008,                 1.1783,                 1.2864,                0.69264,                0.62869,                0.67181,                  0.452,                 1.1872,                 1.0825,                 1.3237,               0.005743,               0.005743,               0.005743
                     46,                 1.1103,                 1.1813,                 1.2893,                 0.7331,                0.60945,                0.66852,                0.44863,                 1.1845,                 1.0692,                 1.3277,               0.005644,               0.005644,               0.005644
                     47,                 1.0951,                 1.1648,                 1.2824,                0.71298,                0.62225,                0.67083,                0.45322,                 1.1851,                 1.0819,                 1.3225,               0.005545,               0.005545,               0.005545
                     48,                 1.0877,                 1.1425,                 1.2763,                0.70387,                0.63664,                0.67701,                0.45748,                 1.1815,                 1.0632,                 1.3144,               0.005446,               0.005446,               0.005446
                     49,                 1.0922,                 1.1516,                 1.2778,                0.71395,                0.63179,                0.67224,                0.45536,                 1.1853,                 1.0677,                 1.3176,               0.005347,               0.005347,               0.005347
                     50,                 1.0841,                 1.1413,                 1.2729,                0.69246,                0.66262,                0.67664,                0.46058,                 1.1861,                 1.0647,                 1.3214,               0.005248,               0.005248,               0.005248
                     51,                 1.0743,                 1.1293,                 1.2683,                0.69248,                0.66402,                0.67736,                 0.4652,                 1.1815,                 1.0535,                 1.3192,               0.005149,               0.005149,               0.005149
                     52,                 1.0849,                 1.1258,                 1.2667,                0.71702,                0.63617,                0.67627,                0.46122,                 1.1856,                 1.0498,                 1.3166,                0.00505,                0.00505,                0.00505
                     53,                 1.0717,                 1.1129,                 1.2606,                0.71798,                0.64586,                0.67746,                0.45962,                 1.1944,                 1.0505,                 1.3202,               0.004951,               0.004951,               0.004951
                     54,                 1.0719,                 1.1021,                 1.2567,                0.72569,                0.64766,                0.67915,                0.46113,                  1.191,                 1.0408,                 1.3177,               0.004852,               0.004852,               0.004852
                     55,                 1.0583,                 1.0943,                 1.2503,                0.73255,                0.63508,                0.68418,                0.46302,                  1.183,                 1.0275,                  1.309,               0.004753,               0.004753,               0.004753
                     56,                 1.0581,                 1.0867,                 1.2494,                0.72523,                0.64569,                0.68348,                  0.464,                 1.1813,                 1.0279,                 1.3104,               0.004654,               0.004654,               0.004654
                     57,                 1.0503,                 1.0702,                 1.2444,                0.72829,                  0.648,                0.68556,                0.46772,                 1.1841,                 1.0339,                 1.3131,               0.004555,               0.004555,               0.004555
                     58,                 1.0504,                 1.0724,                 1.2484,                0.71719,                 0.6533,                0.68025,                0.46425,                 1.1831,                 1.0323,                 1.3155,               0.004456,               0.004456,               0.004456
                     59,                 1.0401,                 1.0598,                 1.2415,                0.71568,                0.65293,                0.68301,                0.46532,                 1.1843,                 1.0291,                 1.3168,               0.004357,               0.004357,               0.004357
