                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1292,                 2.1847,                 1.3958,                0.63663,                  0.555,                0.61131,                0.34946,                 1.2535,                  23.82,                 1.4991,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.0392,                  1.595,                 1.3174,                0.62792,                0.52239,                0.56429,                0.32724,                 1.2865,                 19.496,                 1.5465,              0.0065925,              0.0065925,              0.0065925
                      3,                 1.0754,                 1.5187,                 1.3447,                0.57272,                0.48198,                0.50521,                0.27959,                 1.4472,                 5.5578,                 1.7506,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.0771,                 1.4789,                 1.3582,                0.62335,                0.51379,                0.55514,                 0.3202,                 1.3363,                 35.891,                 1.6311,               0.009703,               0.009703,               0.009703
                      5,                 1.0322,                  1.362,                 1.3263,                0.73512,                0.62906,                0.70684,                0.43828,                 1.1987,                 3.9789,                 1.4219,               0.009703,               0.009703,               0.009703
                      6,                0.99938,                 1.2813,                 1.3006,                0.80271,                0.67827,                0.76437,                0.49421,                 1.1324,                 1.7405,                 1.3926,               0.009604,               0.009604,               0.009604
                      7,                0.97345,                 1.2253,                 1.2839,                0.83095,                0.69592,                0.79691,                0.51721,                 1.1139,                 2.9928,                 1.3648,               0.009505,               0.009505,               0.009505
                      8,                0.94986,                  1.183,                 1.2669,                0.85275,                0.70883,                 0.8111,                0.54362,                  1.068,                   5.91,                 1.3419,               0.009406,               0.009406,               0.009406
                      9,                0.93699,                 1.1484,                 1.2555,                0.85528,                0.73658,                0.83027,                0.56059,                 1.0391,                 7.5783,                 1.2883,               0.009307,               0.009307,               0.009307
                     10,                0.92497,                 1.1128,                 1.2435,                0.83024,                0.68335,                0.78819,                 0.5296,                 1.0992,                 5.3269,                 1.3633,               0.009208,               0.009208,               0.009208
                     11,                0.91062,                 1.0866,                  1.234,                0.88812,                0.77987,                0.87424,                0.61184,                0.97989,                 2.0544,                 1.2261,               0.009109,               0.009109,               0.009109
                     12,                0.89922,                 1.0671,                 1.2265,                0.88714,                0.79575,                0.88356,                0.62348,                0.97531,                 3.5233,                 1.2209,                0.00901,                0.00901,                0.00901
                     13,                0.89228,                 1.0445,                 1.2197,                0.90679,                0.80841,                0.90131,                0.66198,                0.89379,                 1.8475,                 1.1678,               0.008911,               0.008911,               0.008911
                     14,                0.88367,                   1.03,                 1.2133,                0.91577,                0.81983,                0.91261,                0.67201,                0.87623,                 1.7129,                 1.1427,               0.008812,               0.008812,               0.008812
                     15,                0.87168,                  1.008,                 1.2051,                0.91513,                0.84586,                 0.9222,                0.68212,                0.87842,                0.87736,                 1.1371,               0.008713,               0.008713,               0.008713
                     16,                0.86629,                0.99508,                 1.1998,                 0.9266,                0.83016,                0.92016,                 0.6894,                0.84387,                 1.2198,                 1.1208,               0.008614,               0.008614,               0.008614
